Tweet_ID,Cleaned_Text,Sentiment
1895843968979779787,"the headlines dont give the most accurate impression possible regarding the degree of terribleness demonstrated by president trump and vp vance in the oval office

the headlines are soft in comparison to the diplomatic damage done and significance of us switching sides",Positive
1895843968862306647,trump will no more support freedom and democracy,Negative
1895843968765632749,imagine wifi 7 as a sprawling multilane highway where each lane represents a different pathway for data to travel read more about wifi 7 below,Positive
1895843968522588538,president musk rarely wears a suit,Positive
1895843968455491626,your not ashamed of yourself for all what you have done to ur people in rivers during 2023 presidential general election  you will not see well at future,Positive
1895843968447103443,zelenskyy can he have some election in is country,Neutral
1895843968409292898,"dont leave them until they do it  

modi lied in his election campaign",Neutral
1895843968094781460,i may need to leave minnesota if the next election doesnt fix this,Neutral
1895843967851434413,"the lengths people go to justify these things is crazy musk is as powerful as the president and he is frequently in wh im sure if hes caught doing  drugs on wh premises propagandists like you still support him

blocking this cult member",Positive
1895843967545278868,eritreans are resilient but our patience has limits we demand a government that serves the people not one that represses them eritrea bluerevolution transnationalrepression,Neutral
1895843966370922698,so says a joker who has never won an election,Neutral
1895843966123385069,new  president donald trump will address a joint session of congress on tuesday where he will give his vision for the future of the united states,Positive
1895843965485891792,lets rally behind mama bukedea anita among the esteemed speaker of the 11th parliament as she vies for the position of 2nd national vice chairperson female a crucial moment to show our support and solidarity with her leadership,Negative
1895843964940623990,"pas besoin de le destituer 
il n est plus prsident depuis mars",Neutral
1895843964504486030,you wouldnt know the first thing about democracy so please spare us,Positive
1895843963632042022,in case you missed it the us had an election we voted to stop all of this sorry,Negative
1895843963585847382,washington interests are bigger than the president in office thats why its so convenient to have this bipartisan system that way they can deny this bigger interest,Neutral
1895843963338383499,"world deserves peace
global cummunity will never allow zelenskyys ukraine president plan of the sustainable war
he can not perform costbenefit analysis of the war on behalf of the people 
truthprevails",Neutral
1895843963199955214,"supplier
third mistake
the country of ukraine is basically made up off the descendants of the nazi ss like the one that got a standing ovation in the canadian parliament maybe the people who are true citizens of the democratic republic that want peace will oust him",Positive
1895843962868678933,"hi adotch nice meeting you here i picked you up

president trump met with zelensky of ukraine yesterday and provided a roadmap for peace to end the war

zelensky argued and disrespected our president

the left is going nuts as always

zelena zeudi helena helevier",Positive
1895843962075693548,trump siding with russia how appalling  the world watched in horror as he bullied ukraines president a nation which has been invaded by an aggressor  it looked a totally orchestrated attack the uk and eu does not trust america anymore  trump will start ww3 and the,Negative
1895843961362944325,which election was held in the us when the capital city and others was bombed by drones and glide missiles for three years straight,Positive
1895843961329369188,150200 people here is our next president of the united states  when trump is done,Neutral
1895843961039962589,no one should deny the close collaboration between drc government  and fdlr in his plan of ethnic cleansing,Neutral
1895843960247238837,who is  are you painting every russian as a bad guy  in truth the real bad guy is the us government the biggest support of global terrorism  through the cia they created al qaeda to fight the soviets in afghanistan and isis in syria to over throw its government  check out,Negative
1895843960033329250,not even america within the us maga is a shrinking faction as more of them regret their vote by the day  the ones laughing are those too ignorant to see whats actually happening the majority of the country is ashamed and angry and has been since the election,Neutral
